pais_de_nacimiento,provincia_ok,fecha_de_nacimiento,balance_2025_12_31,device_name,device_brand,device_model,age_years,n_transactions,n_credits,n_debits,total_credit,total_debit,gross_volume,mean_abs_amount,max_abs_amount,first_tx_date,last_tx_date,n_unique_descriptions,net_flow,tx_window_days,days_since_last_tx,n_tx_interest,n_tx_other,n_tx_transfer,n_tx_fee,n_tx_opening,n_tx_bizum,n_tx_card,n_tx_seizure,n_tx_salary,n_tx_investment,is_mule,tipo_de_persona_titular_F,pais_de_nacionalidad_titular_ARGENTINA,pais_de_nacionalidad_titular_BOLIVIA,pais_de_nacionalidad_titular_BRASIL,pais_de_nacionalidad_titular_BULGARIA,pais_de_nacionalidad_titular_COLOMBIA,pais_de_nacionalidad_titular_ECUADOR,pais_de_nacionalidad_titular_ESPAÑA,pais_de_nacionalidad_titular_HONDURAS,pais_de_nacionalidad_titular_INDIA,pais_de_nacionalidad_titular_MARRUECOS,pais_de_nacionalidad_titular_NEPAL,pais_de_nacionalidad_titular_NIGERIA,pais_de_nacionalidad_titular_PERU,pais_de_nacionalidad_titular_POLONIA,pais_de_nacionalidad_titular_REPUBLICA DOMINICANA,pais_de_nacionalidad_titular_RUMANIA,pais_de_nacionalidad_titular_UCRANIA,pais_de_nacionalidad_titular_URUGUAY,pais_de_nacionalidad_titular_VENEZUELA,pais_residencia_ok_ESPAÑA,tipo_de_documento_NIF-DNI,tipo_de_documento_TARJ RESIDENTE,os_ANDROID,os_IOS,os_Unknown
0.9206812652068127,0.008759124087591242,0.00048661800486618007,3.06,0.41654501216545015,0.7260340632603406,0.7260340632603406,46.22,29,20,9,4107.110000000001,-4104.0,8211.11,283.1417241379311,2451.84,0.00291970802919708,0.02579075425790754,4,3.110000000000582,397.0,-95.0,13,0,15,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
0.9206812652068127,0.03309002433090024,0.00048661800486618007,2.0,0.00291970802919708,0.7260340632603406,0.7260340632603406,58.0,15,15,0,2.0,0.0,2.0,0.1333333333333333,2.0,0.00145985401459854,0.02579075425790754,3,2.0,397.0,-100.0,13,0,1,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0.0038929440389294406,0.00535279805352798,0.00048661800486618007,10.09,0.41654501216545015,0.7260340632603406,0.7260340632603406,87.45,21,18,3,74770.12,-74760.0,149530.12,7120.481904761905,29970.0,0.00048661800486618007,0.027737226277372264,4,10.119999999995343,397.0,-102.0,13,0,7,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
0.007785888077858881,0.03309002433090024,0.00048661800486618007,50276.27,0.41654501216545015,0.7260340632603406,0.7260340632603406,24.64,16,16,0,50445.45,0.0,50445.45,3152.8406250000003,50000.0,0.004379562043795621,0.03309002433090024,4,50445.45,397.0,-105.0,13,1,1,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
0.9206812652068127,0.04720194647201947,0.00048661800486618007,0.0,0.41654501216545015,0.7260340632603406,0.7260340632603406,42.73,24,18,6,15020.0,-15020.0,30040.0,1251.6666666666667,14980.0,0.0019464720194647203,0.03454987834549878,5,0.0,397.0,-107.0,13,0,6,0,1,4,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
0.9206812652068127,0.03990267639902676,0.00048661800486618007,0.0,0.41654501216545015,0.7260340632603406,0.7260340632603406,22.33,24,19,5,5970.0,-5970.0,11940.0,497.5,4480.0,0.00291970802919708,0.03454987834549878,6,0.0,397.0,-108.0,13,0,9,0,1,1,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
0.9206812652068127,0.014598540145985401,0.00048661800486618007,0.02,0.17372262773722627,0.7260340632603406,0.7260340632603406,37.3,21,18,3,250.16,-250.16,500.32,23.824761904761903,250.0,0.00535279805352798,0.03795620437956204,5,-2.8421709430404014e-14,399.0,-111.0,13,0,6,0,1,0,0,1,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0.9206812652068127,0.014598540145985401,0.00048661800486618007,10.38,0.004379562043795621,0.7260340632603406,0.7260340632603406,26.17,28,26,2,10505.48,-10495.0,21000.48,750.0171428571429,10491.0,0.00291970802919708,0.0340632603406326,4,10.479999999999563,397.0,-113.0,13,0,14,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0.9206812652068127,0.04282238442822384,0.00048661800486618007,0.0,0.00145985401459854,0.7260340632603406,0.7260340632603406,22.26,23,20,3,22540.0,-22540.0,45080.0,1960.0,14960.0,0.00583941605839416,0.038929440389294405,4,0.0,397.0,-114.0,13,0,9,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0.9206812652068127,0.04282238442822384,0.00048661800486618007,1.41,0.004866180048661801,0.7260340632603406,0.7260340632603406,29.25,19,17,2,14881.51,-14880.0,29761.51,1566.3952631578948,14850.0,0.00583941605839416,0.038929440389294405,4,1.5100000000002185,397.0,-114.0,13,0,5,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
